次序(int),節慶(string),農曆(string),公曆(datetime),意義(string)
1,元旦,2011/12/8,2012/1/1,新年第一天
2,小寒,2011/12/13,2012/1/6,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
3,大寒,2011/12/28,2012/1/21,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
4,除夕,2011/12/29,2012/1/22,農曆新年前一日
5,春節,2012/1/1,2012/1/23,農曆新年
6,初二,2012/1/2,2012/1/24,回娘家
7,開工,2012/1/5,2012/1/27,春節結束
8,立春,2012/1/13,2012/2/4,開始進入春天，萬物復蘇
9,元宵節,2012/1/15,2012/2/6,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
10,情人節,2012/1/23,2012/2/14,西洋的情人節
11,雨水,2012/1/28,2012/2/19,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
12,228紀念,2012/2/7,2012/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
13,驚蟄,2012/2/13,2012/3/5,天氣轉暖，春雷震響，蟄伏在泥土堛漲U種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
14,春分,2012/2/28,2012/3/20,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
15,兒童節,2012/3/14,2012/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
16,清明節,2012/3/14,2012/4/4,民族掃墓節
17,穀雨,2012/3/30,2012/4/20,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
18,勞動節,2012/4/11,2012/5/1,紀念勞工對社會和經濟的所作的貢獻
19,立夏,2012/4/15,2012/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
20,母親節,2012/4/23,2012/5/13,紀念母親的貢獻
21,小滿,2012/4/30,2012/5/20,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
22,芒種,2012/4/16,2012/6/5,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
23,夏至,2012/5/3,2012/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
24,端午節,2012/5/5,2012/6/23,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
25,小暑,2012/5/19,2012/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
26,大暑,2012/6/4,2012/7/22,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
27,立秋,2012/6/20,2012/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽
28,父親節,2012/6/21,2012/8/8,紀念父親的貢獻
29,七夕,2012/7/7,2012/8/23,中華情人節
30,處暑,2012/7/7,2012/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
31,中元節,2012/7/15,2012/8/31,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
32,白露,2012/7/22,2012/9/7,天氣轉涼，地面水汽結露
33,秋分,2012/8/7,2012/9/22,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
34,教師節,2012/8/13,2012/9/28,紀念教師的貢獻
35,中秋節,2012/8/15,2012/9/30,該日為中秋，民俗上為家人團聚的日子
36,寒露,2012/8/23,2012/10/8,天氣轉涼，露水日多
37,國慶,2012/8/25,2012/10/10,紀念1911年武昌起義
38,霜降,2012/9/9,2012/10/23,天氣已冷，開始有霜凍
39,萬聖節,2012/9/17,2012/10/31,西洋鬼節
40,立冬,2012/9/24,2012/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
41,小雪,2012/10/9,2012/11/22,氣溫下降
42,大雪,2012/11/9,2012/12/21,黃河流域一帶漸有積雪；而北方已是萬里冰封
43,冬至,2012/11/9,2012/12/21,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
44,聖誕節,2012/11/13,2012/12/25,紀念耶穌降生的節日
45,元旦,2012/11/20,2013/1/1,新年第一天
46,小寒,2012/11/24,2013/1/5,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
47,大寒,2012/12/9,2013/1/20,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
48,立春,2012/12/24,2013/2/4,開始進入春天，萬物復蘇
49,除夕,2012/12/29,2013/2/9,農曆新年前一日
50,春節,2013/1/1,2013/2/10,農曆新年
51,初二,2013/1/2,2013/2/11,回娘家
52,開工,2013/1/5,2013/2/14,春節結束
53,情人節,2013/1/5,2013/2/14,西洋的情人節
54,雨水,2013/1/9,2013/2/18,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
55,元宵節,2013/1/15,2013/2/24,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
56,228紀念,2013/1/19,2013/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
57,驚蟄,2013/1/24,2013/3/5,天氣轉暖，春雷震響，蟄伏在泥土堛漲U種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
58,春分,2013/2/9,2013/3/20,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
59,兒童節,2013/2/24,2013/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
60,清明節,2013/2/25,2013/4/5,民族掃墓節
61,穀雨,2013/3/11,2013/4/20,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
62,勞動節,2013/3/22,2013/5/1,紀念勞工對社會和經濟的所作的貢獻
63,立夏,2013/3/26,2013/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
64,母親節,2013/4/2,2013/5/11,紀念母親的貢獻
65,小滿,2013/4/12,2013/5/21,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
66,芒種,2013/4/27,2013/6/5,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
67,端午節,2013/5/5,2013/6/12,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
68,夏至,2013/5/14,2013/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
69,小暑,2013/5/30,2013/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
70,大暑,2013/6/15,2013/7/22,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
71,立秋,2013/7/1,2013/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽
72,父親節,2013/7/2,2013/8/8,紀念父親的貢獻
73,七夕,2013/7/7,2013/8/13,中華情人節
74,中元節,2013/7/15,2013/8/21,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
75,處暑,2013/7/17,2013/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
76,白露,2013/8/3,2013/9/7,天氣轉涼，地面水汽結露
77,中秋節,2013/8/15,2013/9/19,該日為中秋，民俗上為家人團聚的日子
78,秋分,2013/8/19,2013/9/23,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
79,教師節,2013/8/24,2013/9/28,紀念教師的貢獻
80,寒露,2013/9/4,2013/10/8,天氣轉涼，露水日多
81,國慶,2013/9/6,2013/10/10,紀念1911年武昌起義
82,霜降,2013/9/19,2013/10/23,天氣已冷，開始有霜凍
83,萬聖節,2013/9/27,2012/10/31,西洋鬼節
84,立冬,2013/10/5,2013/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
85,小雪,2013/10/20,2013/11/22,氣溫下降
86,大雪,2013/11/5,2013/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
87,冬至,2013/11/20,2013/12/22,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
88,聖誕節,2013/11/23,2013/12/25,紀念耶穌降生的節日
89,元旦,2013/12/1,2014/1/1,新年第一天
90,小寒,2013/12/5,2014/1/5,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
91,大寒,2013/12/20,2014/1/20,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
92,除夕,2013/12/30,2014/1/30,農曆新年前一日
93,春節,2014/1/1,2014/1/31,農曆新年
94,初二,2014/1/2,2014/2/1,回娘家
95,開工,2014/1/5,2014/2/4,春節結束
96,立春,2014/1/5,2014/2/4,開始進入春天，萬物復蘇
97,元宵節,2014/1/15,2014/2/14,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
98,情人節,2014/1/15,2014/2/14,西洋的情人節
99,雨水,2014/1/20,2014/2/19,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
100,228紀念,2014/1/29,2014/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
101,驚蟄,2014/2/6,2014/3/6,天氣轉暖，春雷震響，蟄伏在泥土堛漲U種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
102,春分,2014/2/21,2014/3/21,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
103,兒童節,2014/3/5,2014/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
104,清明節,2014/3/6,2014/4/5,民族掃墓節
105,穀雨,2014/3/21,2014/4/20,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
106,勞動節,2014/4/3,2014/5/1,紀念勞工對社會和經濟的所作的貢獻
107,立夏,2014/4/7,2014/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
108,母親節,2014/4/13,2014/5/11,紀念母親的貢獻
109,小滿,2014/4/23,2014/5/21,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
110,端午節,2014/5/5,2014/6/1,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
111,芒種,2014/5/9,2014/6/6,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
112,夏至,2014/5/24,2014/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
113,小暑,2014/6/11,2014/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
114,大暑,2014/6/27,2014/7/23,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
115,七夕,2014/7/7,2014/8/2,中華情人節
116,立秋,2014/7/12,2014/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽
117,父親節,2014/7/13,2014/8/8,紀念父親的貢獻
118,中元節,2014/7/15,2014/8/10,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
119,處暑,2014/7/28,2014/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
120,中秋節,2014/8/15,2012/9/8,該日為中秋，民俗上為家人團聚的日子
121,白露,2014/8/15,2012/9/8,天氣轉涼，地面水汽結露
122,秋分,2014/8/30,2014/9/23,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
123,教師節,2014/9/5,2014/9/28,紀念教師的貢獻
124,寒露,2014/9/15,2014/10/8,天氣轉涼，露水日多
125,國慶,2014/9/17,2014/10/10,紀念1911年武昌起義
126,霜降,2014/9/30,2014/10/23,天氣已冷，開始有霜凍
127,萬聖節,2014/9/8,2014/10/31,西洋鬼節(閏九月)
128,立冬,2014/9/15,2014/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
129,小雪,2014/10/1,2014/11/22,氣溫下降
130,大雪,2014/10/16,2014/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
131,冬至,2014/11/1,2014/12/22,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
132,聖誕節,2014/11/4,2014/12/25,紀念耶穌降生的節日
133,元旦,2014/11/11,2015/1/1,新年第一天
134,小寒,2014/11/16,2015/1/6,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
135,大寒,2014/12/1,2015/1/20,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
136,立春,2014/12/16,2015/2/4,開始進入春天，萬物復蘇
137,情人節,2014/12/26,2015/2/14,西洋的情人節
138,除夕,2014/12/30,2015/2/18,農曆新年前一日
139,春節,2015/1/1,2015/2/19,農曆新年
140,雨水,2015/1/1,2015/2/19,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
141,初二,2015/1/2,2015/2/20,回娘家
142,開工,2015/1/5,2015/2/23,春節結束
143,228紀念,2015/1/10,2015/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
144,元宵節,2015/1/15,2015/3/5,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
145,驚蟄,2015/1/16,2015/3/6,天氣轉暖，春雷震響，蟄伏在泥土堛漲U種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
146,春分,2015/2/2,2015/3/21,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
147,兒童節,2015/2/16,2015/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
148,清明節,2015/2/17,2015/4/5,民族掃墓節
149,穀雨,2015/3/2,2015/4/20,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
150,勞動節,2015/3/13,2015/5/1,紀念勞工對社會和經濟的所作的貢獻
151,立夏,2015/3/18,2015/5/6,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
152,母親節,2015/3/22,2015/5/10,紀念母親的貢獻
153,小滿,2015/4/4,2015/5/21,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
154,芒種,2015/4/20,2015/6/6,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
155,端午節,2015/5/5,2015/6/20,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
156,夏至,2015/5/7,2015/6/22,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
157,小暑,2015/5/22,2015/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
158,大暑,2015/6/8,2015/7/23,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
159,父親節,2015/6/24,2015/8/8,紀念父親的貢獻
160,立秋,2015/6/24,2015/8/8,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽
161,七夕,2015/7/7,2015/8/20,中華情人節
162,處暑,2015/7/10,2015/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
163,中元節,2015/7/15,2015/8/28,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
164,白露,2015/7/26,2015/9/8,天氣轉涼，地面水汽結露
165,秋分,2015/8/11,2015/9/23,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
166,中秋節,2015/8/15,2015/9/27,該日為中秋，民俗上為家人團聚的日子
167,教師節,2015/8/16,2015/9/28,紀念教師的貢獻
168,寒露,2015/8/26,2015/10/8,天氣轉涼，露水日多
169,國慶,2015/8/28,2015/10/10,紀念1911年武昌起義
170,霜降,2015/9/12,2015/10/24,天氣已冷，開始有霜凍
171,萬聖節,2015/9/19,2015/10/31,西洋鬼節
172,立冬,2015/9/27,2015/11/8,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
173,小雪,2015/10/11,2015/11/22,氣溫下降
174,大雪,2015/10/26,2015/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
175,冬至,2015/11/12,2015/12/22,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
176,聖誕節,2015/11/15,2015/12/25,紀念耶穌降生的節日
177,元旦,2015/11/22,2016/1/1,新年第一天
178,小寒,2015/11/27,2016/1/6,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
179,大寒,2015/12/11,2016/1/20,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
180,立春,2015/12/26,2016/2/4,開始進入春天，萬物復蘇
181,除夕,2015/12/29,2016/2/7,農曆新年前一日
182,春節,2016/1/1,2016/2/8,農曆新年
183,初二,2016/1/2,2016/2/9,回娘家
184,開工,2016/1/5,2016/2/12,春節結束
185,情人節,2016/1/7,2016/2/14,西洋的情人節
186,雨水,2016/1/12,2016/2/19,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
187,元宵節,2016/1/15,2016/2/22,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
188,228紀念,2016/1/21,2016/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
189,驚蟄,2016/1/27,2016/3/5,天氣轉暖，春雷震響，蟄伏在泥土堛漲U種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
190,春分,2016/2/12,2016/3/20,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
191,兒童節,2016/2/27,2016/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
192,清明節,2016/2/28,2016/4/5,民族掃墓節
193,穀雨,2016/3/13,2016/4/19,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
194,勞動節,2016/3/25,2016/5/1,紀念勞工對社會和經濟的所作的貢獻
195,立夏,2016/3/29,2016/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
196,母親節,2016/4/2,2016/5/8,紀念母親的貢獻
197,小滿,2016/4/14,2016/5/20,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
198,芒種,2016/5/1,2016/6/5,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
199,端午節,2016/5/5,2016/6/9,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
200,夏至,2016/5/17,2016/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
201,小暑,2016/6/4,2016/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
202,大暑,2016/6/19,2016/7/22,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
203,立秋,2016/7/5,2016/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽
204,父親節,2016/7/6,2016/8/8,紀念父親的貢獻
205,七夕,2016/7/7,2016/8/9,中華情人節
206,中元節,2016/7/15,2016/8/17,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
207,處暑,2016/7/21,2016/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
208,白露,2016/8/7,2016/9/7,天氣轉涼，地面水汽結露
209,中秋節,2016/8/15,2016/9/15,該日為中秋，民俗上為家人團聚的日子
210,秋分,2016/8/22,2016/9/22,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
211,教師節,2016/8/28,2016/9/28,紀念教師的貢獻
212,寒露,2016/9/8,2016/10/8,天氣轉涼，露水日多
213,國慶,2016/9/10,2016/10/10,紀念1911年武昌起義
214,霜降,2016/9/23,2016/10/23,天氣已冷，開始有霜凍
215,萬聖節,2016/10/1,2016/10/31,西洋鬼節
216,立冬,2016/10/8,2016/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
217,小雪,2016/10/23,2016/11/22,氣溫下降
218,大雪,2016/11/9,2016/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
219,冬至,2016/11/23,2016/12/21,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
220,聖誕節,2016/11/27,2016/12/25,紀念耶穌降生的節日
221,元旦,2016/12/4,2017/1/1,新年第一天
222,小寒,2016/12/8,2017/1/5,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
223,大寒,2016/12/23,2017/1/20,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
224,除夕,2016/12/30,2017/1/27,農曆新年前一日
225,春節,2017/1/1,2017/1/28,農曆新年
226,初二,2017/1/2,2017/1/29,回娘家
227,開工,2017/1/5,2017/2/1,春節結束
228,立春,2017/1/7,2017/2/3,開始進入春天，萬物復蘇
229,元宵節,2017/1/15,2017/2/11,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
230,情人節,2017/1/18,2017/2/14,西洋的情人節
231,雨水,2017/1/22,2017/2/18,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
232,228紀念,2017/2/3,2017/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
233,驚蟄,2017/2/8,2017/3/5,天氣轉暖，春雷震響，蟄伏在泥土堛漲U種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
234,春分,2017/2/23,2017/3/20,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
235,清明節,2017/3/7,2017/4/3,民族掃墓節
236,兒童節,2017/3/8,2017/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
237,穀雨,2017/3/24,2017/4/20,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
238,勞動節,2017/4/6,2017/5/1,紀念勞工對社會和經濟的所作的貢獻
239,立夏,2017/4/10,2017/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
240,母親節,2017/4/19,2017/5/14,紀念母親的貢獻
241,小滿,2017/4/26,2017/5/21,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
242,端午節,2017/5/5,2017/5/30,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
243,芒種,2017/5/11,2017/6/5,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
244,夏至,2017/5/27,2017/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
245,小暑,2017/6/14,2017/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
246,大暑,2017/6/29,2017/7/22,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
247,立秋,2017/6/16,2017/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽(閏六月)
248,父親節,2017/6/17,2017/8/8,紀念父親的貢獻
249,處暑,2017/7/2,2017/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
250,七夕,2017/7/7,2017/8/28,中華情人節
251,中元節,2017/7/15,2017/9/5,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
252,白露,2017/7/17,2017/9/7,天氣轉涼，地面水汽結露
253,秋分,2017/8/4,2017/9/23,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
254,教師節,2017/8/9,2017/9/28,紀念教師的貢獻
255,中秋節,2017/8/15,2017/10/4,該日為中秋，民俗上為家人團聚的日子
256,寒露,2017/8/19,2017/10/8,天氣轉涼，露水日多
257,國慶,2017/8/21,2017/10/10,紀念1911年武昌起義
258,霜降,2017/9/4,2017/10/23,天氣已冷，開始有霜凍
259,萬聖節,2017/9/12,2017/10/31,西洋鬼節
260,立冬,2017/9/19,2017/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
261,小雪,2017/10/5,2017/11/22,氣溫下降
262,大雪,2017/10/20,2017/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
263,冬至,2017/11/5,2017/12/22,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
264,聖誕節,2017/11/8,2017/12/25,紀念耶穌降生的節日
